CID,SMILES,pred_lum,pred_PLQY
59342266,COOSc1c(F)c[c-]c(-c2cccc(C(C)(C)c3cccc(-c4ccc(F)c(S(C)(=O)=O)c4F)n3)n2)c1F,532,73.4
18359728,Cc1c(F)c(Oc2cc(C(F)(F)F)nn2C)nc(-c2[c-]cc(F)cc2F)c1F,527,73.4
57923679,[C-]#[N+]c1c(F)c[c-]c(-c2cccc(C(C)(C)c3ccn(-c4ccc(F)nc4F)n3)n2)c1F,531,73.3
169674240,CCOc1c(CC(=N)O)cc([C@@](O)(CN)C(F)(F)F)nc1-c1[c-]c(Cl)c(F)cc1F,549,73.2
156069864,Nc1ncnc2c1ncn2Cc1cc(-c2[c-]cc(F)c(F)c2F)ncc1N1CCC[C@](N)(C(O)C(F)F)C1,561,73.2
156067068,Nc1ncnc2c1ncn2Cc1cc(-c2[c-]cc(F)c(F)c2F)ncc1N1CCCC(N)(C(O)C(F)F)C1,561,73.2
122220582,Cc1ccnc(-c2[c-]cc(F)c(C(F)(F)C(F)(F)C(F)(F)F)c2F)c1,506,73.2
156070014,Nc1ncnc2c1ncn2Cc1cc(-c2[c-]cc(F)c(F)c2F)ncc1N1CCCC(N)([C@H](O)C(F)F)C1,561,73.2
57852403,CC(C)(c1cccc(-c2cc(C(F)(F)F)n[nH]2)n1)c1cccc(-c2[c-]cc(F)c(C(F)(F)F)c2F)n1,528,73.2
156069865,Nc1ncnc2c1ncn2Cc1cc(-c2[c-]cc(F)c(F)c2F)ncc1N1CCCC(N)([C@@H](O)C(F)F)C1,561,73.2
156069862,Nc1ncnc2c1ncn2Cc1cc(-c2[c-]cc(F)c(F)c2F)ncc1N1CCC[C@](N)([C@@H](O)C(F)F)C1,561,73.2
156070012,Nc1ncnc2c1ncn2Cc1cc(-c2[c-]cc(F)c(F)c2F)ncc1N1CCC[C@](N)([C@H](O)C(F)F)C1,561,73.2
153394080,CC(O)=Nc1nc(-c2[c-]cc(F)cc2F)ccc1N,558,73.2
59357067,CC(C)(c1cccc(-c2[c-]cc(F)c(SOOc3ccccc3)c2F)n1)c1cccc(-c2ccc(F)c(S(=O)(=O)c3ccccc3)c2F)n1,529,73.1
58004354,Fc1c[c-]c(-c2cccc(C3(c4cccc(-c5cc(C(F)(F)F)n[nH]5)n4)CCCCC3)n2)c(F)c1C(F)(F)F,529,73.1
