L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
CC(C)(C)c1ccc(N(c2ccc(-c3c[c-]c4c(c3)c3cc(-c5ccc(N(c6ccc(C(C)(C)C)cc6)c6ccc(C(C)(C)C)cc6)cc5)ccc3c3nc5cc6ccccc6cc5nc43)cc2)c2ccc(C(C)(C)C)cc2)cc1,CC(C)(C)c1ccc(N(c2ccc(-c3c[c-]c4c(c3)c3cc(-c5ccc(N(c6ccc(C(C)(C)C)cc6)c6ccc(C(C)(C)C)cc6)cc5)ccc3c3nc5cc6ccccc6cc5nc43)cc2)c2ccc(C(C)(C)C)cc2)cc1,CC(=O)/C=C(/C)[O-],,tBuTPA-TPz2Iracac,0,860,0.1,0.2,CH2Cl2,10.1016/j.dyepig.2022.110733,,1
[c-]1c(-c2ccc3ccccc3n2)sc2ccccc12,[c-]1c(-c2ccc3ccccc3n2)sc2ccccc12,C/C([O-])=C/C(C)=N/c1ccccc1,,btq-acNac,0,673,0.052,2.7,THF,10.1021/acsorginorgau.1c00044,,1
[c-]1c(-c2ccc3ccccc3n2)sc2ccccc12,[c-]1c(-c2ccc3ccccc3n2)sc2ccccc12,CC(C)N(C(=S)[S-])C(C)C,,btq-dipdtc,0,661,0.012,1.4,THF,10.1021/acsorginorgau.1c00044,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,CC(C)/N=C(/[N-]C(C)C)c1ccccc1,,btiq-dipba,0,720,0.14,1.2,THF,10.1021/acsorginorgau.1c00044,,1
[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,C/C([O-])=C/C(C)=N/c1ccccc1,,btph-acNac,0,722,0.28,1.6,THF,10.1021/acsorginorgau.1c00044,,1
[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,C/C(=C/C(C)=N/c1ccccc1)[N-]c1ccccc1,,btph-NacNac,0,733,0.078,0.69,THF,10.1021/acsorginorgau.1c00044,,1
[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,CC(C)/N=C(/[N-]C(C)C)c1ccccc1,,btph-dipba,0,713,0.25,2.3,THF,10.1021/acsorginorgau.1c00044,,1
[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,C1CN=C2[N-]CCCN2C1,,btph-hpp,0,716,0.14,1.4,THF,10.1021/acsorginorgau.1c00044,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,c1ccc2c(c1)ccc1nc3c(ccc4nccnc43)nc12,F[P-](F)(F)(F)(F)F,Ir-1,1,776,0.001,0.41,CH3CN,10.1021/acs.inorgchem.1c03727,,1
CC1(C)c2ccccc2-c2c[c-]c(-c3nccc4ccccc34)cc21,CC1(C)c2ccccc2-c2c[c-]c(-c3nccc4ccccc34)cc21,c1ccc2c(c1)ccc1nc3c(ccc4nccnc43)nc12,F[P-](F)(F)(F)(F)F,Ir-2,1,667,0.002,1.3,CH3CN,10.1021/acs.inorgchem.1c03727,,1
CC(C)CCn1c(-c2[c-]cc(F)cc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cc(F)cc2)nc2ccccc21,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,1,1,531,0.123,,CH2Cl2,10.1016/j.molliq.2021.118446,,1
CC(C)CCn1c(-c2[c-]ccs2)nc2ccccc21,CC(C)CCn1c(-c2[c-]ccs2)nc2ccccc21,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,2,1,572,0.066,,CH2Cl2,10.1016/j.molliq.2021.118446,,1
CC(C)CCn1c(-c2[c-]cc(F)cc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cc(F)cc2)nc2ccccc21,c1csc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2cccs2)c1,F[P-](F)(F)(F)(F)F,3,1,563,0.125,,CH2Cl2,10.1016/j.molliq.2021.118446,,1
CC(C)CCn1c(-c2[c-]ccs2)nc2ccccc21,CC(C)CCn1c(-c2[c-]ccs2)nc2ccccc21,c1csc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2cccs2)c1,F[P-](F)(F)(F)(F)F,4,1,608,0.068,,CH2Cl2,10.1016/j.molliq.2021.118446,,1
COc1cc[c-]c(-c2nc3ccccc3n2-c2ccccc2)c1,COc1cc[c-]c(-c2nc3ccccc3n2-c2ccccc2)c1,c1ccc(-c2nc3ccccc3[n-]2)nc1,,4,0,536,0.76,1.44,CH2Cl2,10.1021/acs.inorgchem.1c03897,,1
CC(C)n1c(-c2[c-]cccc2)nc2ccccc21,CC(C)n1c(-c2[c-]cccc2)nc2ccccc21,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL1,1,566,0.32,1.03,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
CC(C)n1c(-c2[c-]cccc2)nc2cc(Cl)c(Cl)cc21,CC(C)n1c(-c2[c-]cccc2)nc2cc(Cl)c(Cl)cc21,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL2,1,557,0.46,1.32,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
CC(C)n1c(-c2[c-]cccc2)nc2cc(C(F)(F)F)ccc21,CC(C)n1c(-c2[c-]cccc2)nc2cc(C(F)(F)F)ccc21,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL3,1,554,0.53,1.24,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
COc1ccc2nc(-c3[c-]cccc3)n(C(C)C)c2c1,COc1ccc2nc(-c3[c-]cccc3)n(C(C)C)c2c1,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL4,1,586,0.34,0.05,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
CC(C)n1c(-c2[c-]cc(C(F)(F)F)cc2)nc2ccccc21,CC(C)n1c(-c2[c-]cc(C(F)(F)F)cc2)nc2ccccc21,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL5,1,530,0.65,1.59,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
COc1c[c-]c(-c2nc3ccccc3n2C(C)C)cc1,COc1c[c-]c(-c2nc3ccccc3n2C(C)C)cc1,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL6,1,570,0.4,1.16,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
CC(C)n1c(-c2[c-]cc(C(F)(F)F)cc2)nc2cc(C(F)(F)F)ccc21,CC(C)n1c(-c2[c-]cc(C(F)(F)F)cc2)nc2cc(C(F)(F)F)ccc21,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL7,1,493,0.54,2.4,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
COc1c[c-]c(-c2nc3ccc(OC)cc3n2C(C)C)cc1,COc1c[c-]c(-c2nc3ccc(OC)cc3n2C(C)C)cc1,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL8,1,585,0.13,0.57,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
COc1c[c-]c(-c2nc3cc(C(F)(F)F)ccc3n2C(C)C)cc1,COc1c[c-]c(-c2nc3cc(C(F)(F)F)ccc3n2C(C)C)cc1,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL9,1,530,0.62,1.4,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
COc1ccc2nc(-c3[c-]cc(C(F)(F)F)cc3)n(C(C)C)c2c1,COc1ccc2nc(-c3[c-]cc(C(F)(F)F)cc3)n(C(C)C)c2c1,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,IrL10,1,555,0.36,4.23,CH2Cl2,10.1021/acs.inorgchem.1c02968,,1
FC(F)(F)c1ccc[c-]c1-c1nccc2ccccc12,FC(F)(F)c1ccc[c-]c1-c1nccc2ccccc12,CC(C)/N=C(/[N-]C(C)C)c1ccccc1,,otfpqba,0,684,0.05,0.26,CH2Cl2,10.3390/molecules27010286,,1
FC(F)(F)c1cc[c-]c(-c2nccc3ccccc23)c1,FC(F)(F)c1cc[c-]c(-c2nccc3ccccc23)c1,CC(C)/N=C(/[N-]C(C)C)c1ccccc1,,mtfpqba,0,663,0.12,0.56,CH2Cl2,10.3390/molecules27010286,,1
FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,CC(C)/N=C(/[N-]C(C)C)c1ccccc1,,ptfpqba,0,679,0.11,0.33,CH2Cl2,10.3390/molecules27010286,,1
FC(F)(F)c1ccc[c-]c1-c1nccc2ccccc12,FC(F)(F)c1ccc[c-]c1-c1nccc2ccccc12,CC(C)/N=C(/[N-]C(C)C)N(C(C)C)C(C)C,,otfpqpg,0,697,0.04,0.13,CH2Cl2,10.3390/molecules27010286,,1
FC(F)(F)c1cc[c-]c(-c2nccc3ccccc23)c1,FC(F)(F)c1cc[c-]c(-c2nccc3ccccc23)c1,CC(C)/N=C(/[N-]C(C)C)N(C(C)C)C(C)C,,mtfpqpg,0,676,0.1,0.28,CH2Cl2,10.3390/molecules27010286,,1
FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,CC(C)/N=C(/[N-]C(C)C)N(C(C)C)C(C)C,,ptfpqpg,0,692,0.06,0.16,CH2Cl2,10.3390/molecules27010286,,1
FC(F)(F)c1ccc[c-]c1-c1nc2ccccc2s1,FC(F)(F)c1ccc[c-]c1-c1nc2ccccc2s1,CC(=O)/C=C(/C)[O-],,obt,0,578,0.32,0.9,CH2Cl2,10.1016/j.jorganchem.2021.122157,,1
FC(F)(F)c1cc[c-]c(-c2nc3ccccc3s2)c1,FC(F)(F)c1cc[c-]c(-c2nc3ccccc3s2)c1,CC(=O)/C=C(/C)[O-],,mbt,0,552,0.88,0.95,CH2Cl2,10.1016/j.jorganchem.2021.122157,,1
FC(F)(F)c1c[c-]c(-c2nc3ccccc3s2)cc1,FC(F)(F)c1c[c-]c(-c2nc3ccccc3s2)cc1,CC(=O)/C=C(/C)[O-],,pbt,0,570,0.55,1.0,CH2Cl2,10.1016/j.jorganchem.2021.122157,,1
FC(F)(F)c1ccc[c-]c1-c1nc2ccccc2n1-c1ccccc1,FC(F)(F)c1ccc[c-]c1-c1nc2ccccc2n1-c1ccccc1,CC(=O)/C=C(/C)[O-],,obm,0,554,0.31,1.22,CH2Cl2,10.1016/j.jorganchem.2021.122157,,1
FC(F)(F)c1cc[c-]c(-c2nc3ccccc3n2-c2ccccc2)c1,FC(F)(F)c1cc[c-]c(-c2nc3ccccc3n2-c2ccccc2)c1,CC(=O)/C=C(/C)[O-],,mbm,0,510,0.4,1.35,CH2Cl2,10.1016/j.jorganchem.2021.122157,,1
FC(F)(F)c1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,FC(F)(F)c1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,CC(=O)/C=C(/C)[O-],,pbm,0,530,0.57,1.27,CH2Cl2,10.1016/j.jorganchem.2021.122157,,1
[c-]1ccccc1-c1nc2ccccc2c2ccccc12,[c-]1ccccc1-c1nc2ccccc2c2ccccc12,C/C([O-])=C/C(C)=N/c1ccccc1,,1,0,694,0.27,0.95,toluene,10.1039/D2QI02058K,,1
[c-]1ccccc1-c1nc2ccccc2c2ccccc12,[c-]1ccccc1-c1nc2ccccc2c2ccccc12,C/C(=C/C(C)=N/c1ccccc1)[N-]c1ccccc1,,2,0,736,0.08,0.21,toluene,10.1039/D2QI02058K,,1
[c-]1ccccc1-c1nc2ccccc2c2ccccc12,[c-]1ccccc1-c1nc2ccccc2c2ccccc12,C/C([O-])=C/C(C)=N/C1CCCCC1,,3,0,723,0.095,0.38,toluene,10.1039/D2QI02058K,,1
N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,C/C([O-])=C/C(C)=N/c1ccccc1,,4,0,709,0.53,0.53,toluene,10.1039/D2QI02058K,,1
N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,C/C(=C/C(C)=N/c1c(C)cccc1C)[N-]c1c(C)cccc1C,,5,0,682,0.6,0.6,toluene,10.1039/D2QI02058K,,1
N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,Cc1cc(C)c(/C(=N\C(C)C)[N-]C(C)C)c(C)c1,,6,0,749,0.22,0.22,toluene,10.1039/D2QI02058K,,1
[c-]1cccc2c1c1nc3ccccc3nc1c1ccccc21,[c-]1cccc2c1c1nc3ccccc3nc1c1ccccc21,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,(DBPz)2Ir(dpm),0,729,0.2,0.56,CH2Cl2,10.1039/D2TC00698G,,1
CC(C)(C)c1ccc(N(c2ccc(-c3c[c-]c4c(c3)c3cc(-c5ccc(N(c6ccc(C(C)(C)C)cc6)c6ccc(C(C)(C)C)cc6)cc5)ccc3c3nc5ccccc5nc43)cc2)c2ccc(C(C)(C)C)cc2)cc1,CC(C)(C)c1ccc(N(c2ccc(-c3c[c-]c4c(c3)c3cc(-c5ccc(N(c6ccc(C(C)(C)C)cc6)c6ccc(C(C)(C)C)cc6)cc5)ccc3c3nc5ccccc5nc43)cc2)c2ccc(C(C)(C)C)cc2)cc1,CC(=O)/C=C(/C)[O-],,(tBuTPA–DBPz)2Ir(acac),0,735,0.29,0.27,CH2Cl2,10.1039/D2TC00698G,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc(-c2nc3ccccc3[n-]2)nc1,,Ir(pq)2pbi,0,565,0.98,1.42,CH2Cl2,10.1039/D2TC02249D,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,c1ccc(-c2nc3ccccc3[n-]2)nc1,,Ir(piq)2pbi,0,594,0.47,1.63,CH2Cl2,10.1039/D2TC02249D,,1
[c-]1c(-c2nccc3ccccc23)sc2ccsc12,[c-]1c(-c2nccc3ccccc23)sc2ccsc12,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,[Ir(ttiq)2tmd],0,690,0.15,0.66,CH2Cl2,10.1002/adpr.202100121,,1
[c-]1c(-c2cnc3ccccc3n2)sc2ccccc12,[c-]1c(-c2cnc3ccccc3n2)sc2ccccc12,O=C(/C=C(\[O-])c1ccc(Br)cc1)c1ccc(Br)cc1,,4,0,764,0.016,0.257,CH2Cl2,10.3390/cryst11091038,,1
[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,O=C(/C=C(\[O-])C(F)(F)F)c1cccs1,,3a,0,716,0.203,1.64,DCE,10.1002/ejic.202100189,,1
[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,[c-]1c(-c2nc3ccccc3c3ccccc23)sc2ccccc12,O=C(/C=C(\[O-])c1cc(-c2ccccc2)nc2ccccc12)c1cccs1,,3b,0,719,0.246,1.72,DCE,10.1002/ejic.202100189,,1
COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,O=C(/C=C(\[O-])C(F)(F)F)c1cccs1,,4a,0,696,0.06,0.208,DCE,10.1002/ejic.202100189,,1
COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,O=C(/C=C(\[O-])c1cc(-c2ccccc2)nc2ccccc12)c1cccs1,,4b,0,716,0.024,0.125,DCE,10.1002/ejic.202100189,,1
COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,O=C(/C=C(\[O-])C(F)(F)F)C(F)(F)F,,4c,0,650,0.001,,DCE,10.1002/ejic.202100189,,1
COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,CC(=O)/C=C(/C)[O-],,4d,0,725,0.013,0.072,DCE,10.1002/ejic.202100189,,1
CCOC(=O)c1cc(-c2[c-]cc3ccccc3c2)nc2ccccc12,CCOC(=O)c1cc(-c2[c-]cc3ccccc3c2)nc2ccccc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,L1,1,673,0.003,0.036,CH3CN,10.1002/chem.202004146,,1
CCOCCOC(=O)c1cc(-c2[c-]cc3ccccc3c2)nc2ccc(OC)cc12,CCOCCOC(=O)c1cc(-c2[c-]cc3ccccc3c2)nc2ccc(OC)cc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,L2,1,668,0.004,0.089,CH3CN,10.1002/chem.202004146,,1
CCOC(=O)c1cc(-c2[c-]cc3ccccc3c2)nc2ccc(F)cc12,CCOC(=O)c1cc(-c2[c-]cc3ccccc3c2)nc2ccc(F)cc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,L3,1,675,0.003,0.017,CH3CN,10.1002/chem.202004146,,1
CCOC(=O)c1cc(-c2[c-]ccc3ccccc23)nc2ccccc12,CCOC(=O)c1cc(-c2[c-]ccc3ccccc23)nc2ccccc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,L4,1,679,0.006,0.24,CH3CN,10.1002/chem.202004146,,1
CCOC(=O)c1cc(-c2[c-]ccc3ccccc23)nc2ccc(OC)cc12,CCOC(=O)c1cc(-c2[c-]ccc3ccccc23)nc2ccc(OC)cc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,L5,1,693,0.002,0.223,CH3CN,10.1002/chem.202004146,,1
CCOC(=O)c1cc(-c2[c-]ccc3ccccc23)nc2ccc(F)cc12,CCOC(=O)c1cc(-c2[c-]ccc3ccccc23)nc2ccc(F)cc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,L6,1,687,0.01,0.217,CH3CN,10.1002/chem.202004146,,1
O=c1c2cccc3cc[c-]c(c32)c2nc3ccccc3n12,O=c1c2cccc3cc[c-]c(c32)c2nc3ccccc3n12,FC(F)(F)c1cc(-c2ccccn2)[n-]n1,,1,0,637,0.24,1.31,CH2Cl2,10.1021/acs.inorgchem.0c01561,,1
O=c1c2cccc3c(N(c4ccccc4)c4ccccc4)c[c-]c(c32)c2nc3ccccc3n12,O=c1c2cccc3c(N(c4ccccc4)c4ccccc4)c[c-]c(c32)c2nc3ccccc3n12,FC(F)(F)c1cc(-c2ccccn2)[n-]n1,,2,0,655,0.26,3.16,CH2Cl2,10.1021/acs.inorgchem.0c01561,,1
CCCCCCc1ccc(-c2c[c-]c3c(c2)c2cc(-c4ccc(CCCCCC)s4)ccc2c2nc4ccccc4nc32)s1,CCCCCCc1ccc(-c2c[c-]c3c(c2)c2cc(-c4ccc(CCCCCC)s4)ccc2c2nc4ccccc4nc32)s1,CC(=O)/C=C(/C)[O-],,Ir1,0,712,0.18,0.9,CH2Cl2,10.1002/adom.202000154,,1
CCCCCCc1ccc(-c2cc3nc4c5[c-]cccc5c5ccccc5c4nc3cc2-c2ccc(CCCCCC)s2)s1,CCCCCCc1ccc(-c2cc3nc4c5[c-]cccc5c5ccccc5c4nc3cc2-c2ccc(CCCCCC)s2)s1,CC(=O)/C=C(/C)[O-],,Ir2,0,741,0.2,0.32,CH2Cl2,10.1002/adom.202000154,,1
[c-]1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc2c1c1nc3ccccc3nc1c1ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,[c-]1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc2c1c1nc3ccccc3nc1c1ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,CC(=O)/C=C(/C)[O-],,Ir3,0,716,0.25,0.77,CH2Cl2,10.1002/adom.202000154,,1
[c-]1cccc2c1c1nc3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3nc1c1ccccc21,[c-]1cccc2c1c1nc3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3nc1c1ccccc21,CC(=O)/C=C(/C)[O-],,Ir4,0,728,0.3,0.39,CH2Cl2,10.1002/adom.202000154,,1
Cc1cc(C)c(-c2cc(-c3[c-]cc(F)nc3F)ncn2)c(C)c1,Cc1cc(C)c(-c2cc(-c3[c-]cc(F)nc3F)ncn2)c(C)c1,O=C([O-])c1ccccn1,,Ir1,0,477,0.927,1.03,CH2Cl2,10.1016/j.dyepig.2020.108257,,1
Cc1cc(C)c(-c2cc(-c3[c-]cc(F)nc3F)ncn2)c(C)c1,Cc1cc(C)c(-c2cc(-c3[c-]cc(F)nc3F)ncn2)c(C)c1,FC(F)(F)c1cc(-c2ccccn2)[n-]n1,,Ir2,0,470,0.952,0.63,CH2Cl2,10.1016/j.dyepig.2020.108257,,1
Cc1cc(C)c(-c2cc(-c3[c-]cc(F)nc3F)ncn2)c(C)c1,Cc1cc(C)c(-c2cc(-c3[c-]cc(F)nc3F)ncn2)c(C)c1,FC(F)(F)c1n[n-]c(-c2ccccn2)n1,,Ir3,0,445,0.994,1.09,CH2Cl2,10.1016/j.dyepig.2020.108257,,1
Cc1nc2ccccc2nc1-c1[c-]cccc1,Cc1nc2ccccc2nc1-c1[c-]cccc1,O=C([O-])c1ccccn1,,[Ir(L1)2(pic)],0,647,0.041,0.3,CHCl3,10.1021/acs.inorgchem.9b02991,,1
Cc1cc2nc(C)c(-c3[c-]cccc3)nc2cc1C,Cc1cc2nc(C)c(-c3[c-]cccc3)nc2cc1C,O=C([O-])c1ccccn1,,[Ir(L2)2(pic)],0,640,0.068,0.285,CHCl3,10.1021/acs.inorgchem.9b02991,,1
Cc1nc2cc(Cl)c(Cl)cc2nc1-c1[c-]cccc1,Cc1nc2cc(Cl)c(Cl)cc2nc1-c1[c-]cccc1,O=C([O-])c1ccccn1,,[Ir(L3)2(pic)],0,665,0.036,0.266,CHCl3,10.1021/acs.inorgchem.9b02991,,1
Cc1nc2cc(F)c(F)cc2nc1-c1[c-]cccc1,Cc1nc2cc(F)c(F)cc2nc1-c1[c-]cccc1,O=C([O-])c1ccccn1,,[Ir(L4)2(pic)],0,650,0.048,0.289,CHCl3,10.1021/acs.inorgchem.9b02991,,1
Cc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1C,Cc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1C,O=C([O-])c1ccccn1,,[Ir(L5)2(pic)],0,648,0.032,0.306,CHCl3,10.1021/acs.inorgchem.9b02991,,1
Clc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1Cl,Clc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1Cl,O=C([O-])c1ccccn1,,[Ir(L6)2(pic)],0,680,0.027,0.285,CHCl3,10.1021/acs.inorgchem.9b02991,,1
Fc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1F,Fc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1F,O=C([O-])c1ccccn1,,[Ir(L7)2(pic)],0,653,0.048,0.29,CHCl3,10.1021/acs.inorgchem.9b02991,,1
Cc1cc2nc(C)c(-c3[c-]cccc3)nc2cc1C,Cc1cc2nc(C)c(-c3[c-]cccc3)nc2cc1C,O=C([O-])c1cnccn1,,[Ir(L2)2(pyz)],0,633,0.059,0.351,CHCl3,10.1021/acs.inorgchem.9b02991,,1
Cc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1C,Cc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1C,O=C([O-])c1cnccn1,,[Ir(L5)2(pyz)],0,641,0.029,0.328,CHCl3,10.1021/acs.inorgchem.9b02991,,1
Fc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1F,Fc1cc2nc(-c3[c-]cccc3)c(-c3ccccc3)nc2cc1F,O=C([O-])c1cnccn1,,[Ir(L7)2(pyz)],0,651,0.013,0.352,CHCl3,10.1021/acs.inorgchem.9b02991,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCOP(=O)(Cc1ccnc(-c2cc(CP(=O)(OCC)OCC)ccn2)c1)OCC,F[P-](F)(F)(F)(F)F,1,1,565,0.39,0.57,CH3CN,10.1021/acs.inorgchem.0c00456,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=P(O)(O)Cc1ccnc(-c2cc(CP(=O)(O)O)ccn2)c1,F[P-](F)(F)(F)(F)F,2,1,535,0.15,0.89,DMF,10.1021/acs.inorgchem.0c00456,,1
FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,c1cnc2c(ccc3nccnc32)n1,F[P-](F)(F)(F)(F)F,IrTAP,1,572,0.154,1.4,CH3CN,10.1021/jacs.9b12108,,1
FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,c1ccc2nc3c(ccc4nccnc43)nc2c1,F[P-](F)(F)(F)(F)F,Irpzph,1,651,0.028,9.7,CH3CN,10.1021/jacs.9b12108,,1
FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,c1ccc2c(c1)ccc1nc3c(ccc4nccnc43)nc12,F[P-](F)(F)(F)(F)F,Irbpph,1,618,0.057,47.0,CH3CN,10.1021/jacs.9b12108,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-n2c(-c3ccccn3)nc3c4ccccc4c4ccccc4c32)cc1,F[P-](F)(F)(F)(F)F,1,1,540,0.46,3.7,CH2Cl2,10.1039/D0DT00568A,,1
[c-]1c(-c2ccccn2)sc2ccccc12,[c-]1c(-c2ccccn2)sc2ccccc12,c1ccc(-n2c(-c3ccccn3)nc3c4ccccc4c4ccccc4c32)cc1,F[P-](F)(F)(F)(F)F,2,1,597,0.21,5.7,CH2Cl2,10.1039/D0DT00568A,,1
COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,COC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,c1ccc(-n2c(-c3ccccn3)nc3c4ccccc4c4ccccc4c32)cc1,F[P-](F)(F)(F)(F)F,3,1,645,0.27,1.3,CH2Cl2,10.1039/D0DT00568A,,1
